,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,property_type,room_type,bathrooms_text,price,has_availability,calendar_last_scraped,first_review,last_review,instant_bookable
1472,20,20,59.3343,18.02556,3,1.0,1.0,2.0,1,31,1,2,14,1125,9,27,53,309,280,88,6,4.69,4.8,4.65,4.84,4.81,4.72,4.67,,20,20,0,0,2024-12-30,2013-08-12,within an hour,100%,99%,t,t,t,Entire rental unit,Entire home/apt,1 bath,$613.00,t,2024-12-30,2019-12-28,2024-12-27,f
1473,8,11,59.31972,18.05856,2,0.0,1.0,1.0,1,14,1,1,14,14,22,52,78,348,72,15,0,4.78,4.88,4.9,4.9,4.9,4.85,4.75,,8,0,8,0,2024-12-30,2019-05-06,within an hour,94%,100%,t,t,t,Room in hotel,Private room,0 baths,"$1,275.00",t,2024-12-30,2020-02-25,2024-10-31,t
1474,8,11,59.31973,18.05824,3,0.0,1.0,2.0,1,14,1,1,14,14,23,53,80,346,46,25,0,4.89,4.83,4.89,4.89,4.93,4.87,4.83,,8,0,8,0,2024-12-30,2019-05-06,within an hour,94%,100%,t,t,t,Room in hotel,Private room,0 baths,"$1,275.00",t,2024-12-30,2023-05-06,2024-10-11,t
1475,8,11,59.31918,18.05997,1,1.0,1.0,1.0,1,14,1,1,14,14,15,44,72,322,13,5,0,4.85,4.77,4.77,4.92,4.85,4.92,4.77,,8,0,8,0,2024-12-30,2019-05-06,within an hour,94%,100%,t,t,t,Room in hotel,Private room,1 bath,"$1,382.00",t,2024-12-30,2019-12-03,2024-11-01,t
1476,8,11,59.31888,18.06026,2,1.0,1.0,1.0,1,14,1,1,14,14,23,53,79,341,32,15,0,4.81,4.91,4.97,4.97,4.97,4.84,4.75,,8,0,8,0,2024-12-30,2019-05-06,within an hour,94%,100%,t,t,t,Room in hotel,Private room,1 bath,"$1,489.00",t,2024-12-30,2023-01-07,2024-07-21,t
1477,8,11,59.31951,18.0602,1,1.0,1.0,1.0,1,14,1,1,14,14,17,47,72,332,4,1,0,5.0,4.75,5.0,4.75,4.75,5.0,4.5,,8,0,8,0,2024-12-30,2019-05-06,within an hour,94%,100%,t,t,t,Room in hotel,Private room,1 bath,"$1,596.00",t,2024-12-30,2023-05-13,2024-01-01,t
1478,8,11,59.31796,18.05801,4,1.0,1.0,4.0,1,14,1,1,14,14,19,45,69,288,15,7,1,4.93,5.0,5.0,4.87,5.0,4.93,4.87,,8,0,8,0,2024-12-30,2019-05-06,within an hour,94%,100%,t,t,t,Room in hotel,Private room,1 bath,"$1,918.00",t,2024-12-30,2023-05-24,2024-12-07,t
1479,8,11,59.31823,18.05816,2,1.0,1.0,1.0,1,14,1,1,14,14,19,47,70,334,13,3,0,4.92,5.0,4.92,5.0,4.92,4.85,4.92,,8,0,8,0,2024-12-30,2019-05-06,within an hour,94%,100%,t,t,t,Room in hotel,Private room,1 bath,"$1,704.00",t,2024-12-30,2023-01-09,2024-04-06,t
1480,1,1,59.34879,18.06629,2,1.0,1.0,2.0,1,7,1,1,7,7,0,0,0,0,9,0,0,4.89,5.0,5.0,4.89,4.89,4.89,4.89,,1,1,0,0,2024-12-30,2019-11-30,,,,f,t,f,Entire rental unit,Entire home/apt,1.5 baths,,,2024-12-30,2019-12-06,2020-11-08,f
1481,2,3,59.30675,18.00824,5,2.5,3.0,4.0,7,14,4,7,14,14,0,2,5,22,8,4,0,5.0,5.0,4.75,5.0,5.0,4.88,4.88,,1,1,0,0,2024-12-30,2013-01-02,within a few hours,100%,54%,t,t,t,Entire townhouse,Entire home/apt,2.5 baths,"$1,857.00",t,2024-12-30,2023-06-26,2024-08-11,f
1482,1,2,59.31392,18.07713,2,1.0,1.0,2.0,3,1125,5,5,1125,1125,0,0,0,0,9,2,0,5.0,5.0,4.89,5.0,5.0,5.0,4.89,,1,1,0,0,2024-12-30,2019-05-23,,,89%,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,,t,2024-12-30,2019-12-08,2024-05-26,f
1483,18,20,59.3127272957788,18.07799388090489,9,1.0,3.0,7.0,1,360,1,3,1125,1125,24,52,82,344,225,67,3,4.9,4.92,4.91,4.92,4.94,4.97,4.72,,18,18,0,0,2024-12-30,2011-08-27,within an hour,100%,98%,t,t,t,Entire rental unit,Entire home/apt,1 bath,"$2,439.00",t,2024-12-30,2020-03-01,2024-12-22,f
1484,20,20,59.33255,18.02371,3,1.0,1.0,2.0,2,31,1,2,14,1125,9,34,62,337,292,74,3,4.76,4.82,4.73,4.91,4.79,4.75,4.71,,20,20,0,0,2024-12-30,2013-08-12,within an hour,100%,99%,t,t,t,Entire rental unit,Entire home/apt,1 bath,$613.00,t,2024-12-30,2019-12-28,2024-12-21,f
1485,3,3,59.29091,18.06801,2,1.0,1.0,2.0,15,360,15,15,360,360,0,0,0,0,29,3,0,4.93,4.97,4.9,5.0,5.0,4.97,4.93,,3,3,0,0,2024-12-30,2019-12-06,a few days or more,33%,44%,f,t,t,Tiny home,Entire home/apt,1 bath,,t,2024-12-30,2020-02-01,2024-07-04,f
1486,1,1,59.31845,18.06881,3,1.0,1.0,1.0,5,29,5,5,1125,1125,9,9,9,9,12,0,0,4.92,5.0,5.0,4.92,5.0,5.0,4.75,,1,1,0,0,2024-12-30,2012-05-10,within an hour,100%,100%,f,t,t,Entire condo,Entire home/apt,1 bath,"$1,553.00",t,2024-12-30,2019-12-28,2023-11-17,f
1487,8,33,59.399,17.95369,2,1.0,1.0,1.0,60,180,60,60,180,180,29,59,89,89,20,3,0,4.8,4.65,4.45,4.95,4.75,4.4,4.5,,8,8,0,0,2024-12-30,2019-08-23,within an hour,100%,84%,t,t,t,Room in aparthotel,Entire home/apt,1 bath,$567.00,t,2024-12-30,2020-02-21,2024-08-28,f
1488,10,12,59.30597,18.07651,1,1.0,1.0,1.0,1,98,1,1,98,98,30,60,90,180,3,1,0,4.67,4.67,4.67,4.67,4.67,4.0,3.67,,10,3,7,0,2024-12-30,2016-03-14,within a day,70%,4%,f,t,t,Private room in rental unit,Private room,1 bath,$500.00,t,2024-12-30,2020-02-09,2024-08-16,f
1489,1,4,59.3173,18.03581,2,1.0,1.0,2.0,7,365,7,7,365,365,0,0,0,0,0,0,0,4.9,4.9,4.9,5.0,5.0,4.9,4.8,,1,1,0,0,2024-12-30,2015-11-25,,,,f,t,f,Entire rental unit,Entire home/apt,1 bath,,t,2024-12-30,,,f
1490,1,2,59.33655,18.05761,2,1.0,1.0,2.0,1,21,1,1,21,21,0,0,0,0,12,6,0,4.83,5.0,4.33,4.92,4.75,4.92,4.83,,1,1,0,0,2024-12-30,2015-07-16,,,75%,f,t,t,Entire rental unit,Entire home/apt,1 bath,,t,2024-12-30,2019-12-27,2024-08-09,f
1491,3,3,59.29132,18.07008,4,1.0,1.0,2.0,2,380,2,2,380,380,28,58,88,88,24,0,0,4.92,5.0,4.96,4.96,4.92,4.96,4.92,,3,3,0,0,2024-12-30,2019-12-06,a few days or more,33%,44%,f,t,t,Tiny home,Entire home/apt,1 bath,"$1,434.00",t,2024-12-30,2020-01-01,2022-07-21,f
1492,3,3,59.29334,18.06947,2,1.0,1.0,2.0,2,28,2,2,28,28,0,0,0,0,19,0,0,5.0,5.0,4.89,4.95,5.0,4.84,4.89,,3,3,0,0,2024-12-30,2019-12-06,a few days or more,33%,44%,f,t,t,Entire guest suite,Entire home/apt,1 bath,,t,2024-12-30,2019-12-22,2020-10-27,f
1493,1,1,59.296,18.01122,4,1.0,1.0,2.0,3,1125,3,3,1125,1125,0,0,0,0,52,0,0,4.79,4.85,4.6,4.77,4.9,4.48,4.75,,1,1,0,0,2024-12-30,2016-06-30,,,,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,,t,2024-12-30,2020-02-28,2023-05-29,f
