,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,property_type,room_type,bathrooms_text,price,has_availability,calendar_last_scraped,first_review,last_review,instant_bookable
0,2,2,59.31389,18.06087,2,1.0,1.0,2.0,2,120,2,2,120,120,27,57,87,177,430,30,1,4.86,4.87,4.79,4.95,4.97,4.84,4.76,,2,0,2,0,2024-12-30,2011-07-06,within an hour,100%,100%,t,t,t,Private room in rental unit,Private room,1 shared bath,$944.00,t,2024-12-30,2011-07-30,2024-12-09,f
1,2,4,59.33351,18.03693,1,1.0,1.0,1.0,2,20,2,2,20,20,25,55,85,360,64,1,0,4.68,4.7,4.63,4.87,4.88,4.81,4.7,,2,1,1,0,2024-12-30,2011-02-27,within a day,100%,15%,f,t,t,Private room in rental unit,Private room,1 shared bath,$414.00,t,2024-12-30,2011-09-29,2024-08-30,f
2,1,1,59.33872,18.05131,2,1.0,1.0,2.0,1,60,1,1,60,60,28,58,88,88,110,0,0,4.79,4.65,4.71,4.85,4.95,4.85,4.64,,1,1,0,0,2024-12-30,2011-10-05,within a few hours,100%,0%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,320.00",t,2024-12-30,2011-11-28,2016-12-13,f
3,2,2,59.31198,18.06076,1,1.0,1.0,1.0,2,300,2,2,300,300,30,60,90,180,414,24,1,4.9,4.88,4.84,4.96,4.98,4.89,4.84,,2,0,2,0,2024-12-30,2011-07-06,within an hour,100%,100%,t,t,t,Private room in rental unit,Private room,1 shared bath,$814.00,t,2024-12-30,2012-02-13,2024-12-01,f
4,3,3,59.30543,18.10771,4,2.0,3.0,3.0,6,30,6,6,30,30,2,2,2,9,4,0,0,5.0,5.0,5.0,5.0,4.75,5.0,5.0,,2,2,0,0,2024-12-30,2011-11-22,within a few hours,100%,100%,f,t,t,Entire rental unit,Entire home/apt,2 baths,"$2,750.00",t,2024-12-30,2012-07-19,2017-07-31,f
5,1,1,59.31846,18.07042,4,1.0,0.0,2.0,2,30,2,2,1125,1125,0,0,0,165,665,41,0,4.66,4.76,4.38,4.92,4.95,4.96,4.58,,1,1,0,0,2024-12-30,2011-12-28,within a few hours,100%,98%,t,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,190.00",t,2024-12-30,2013-06-16,2024-10-03,f
6,1,20,59.30318,17.99521,4,1.0,1.0,2.0,3,1125,3,3,1125,1125,17,35,35,236,68,10,0,4.47,4.38,4.4,4.67,4.71,4.38,4.42,,1,1,0,0,2024-12-30,2011-10-22,within an hour,100%,100%,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,,t,2024-12-30,2012-02-21,2024-09-21,t
7,2,2,59.27635,17.99165,2,1.0,1.0,1.0,1,1125,1,1,1125,1125,30,60,90,365,38,5,0,4.63,4.49,4.7,4.7,4.59,4.46,4.59,,2,1,1,0,2024-12-30,2012-01-01,within a few hours,67%,56%,f,t,t,Private room in home,Private room,1 shared bath,$750.00,t,2024-12-30,2012-07-09,2024-11-06,f
8,2,3,59.34685,18.06056,4,1.5,3.0,4.0,5,60,5,5,60,60,27,56,82,325,97,5,0,4.97,4.92,4.8,4.97,4.98,4.98,4.87,,1,1,0,0,2024-12-30,2012-01-02,within a day,100%,41%,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,"$4,300.00",t,2024-12-30,2012-06-18,2024-09-03,f
9,1,4,59.34283,18.0493,1,1.0,1.0,1.0,80,180,80,80,180,180,27,57,87,177,51,0,0,4.9,4.92,4.8,4.92,4.94,4.92,4.73,,1,1,0,0,2024-12-30,2011-12-25,,,,f,t,t,Entire loft,Entire home/apt,1 bath,$900.00,t,2024-12-30,2012-06-04,2019-09-26,f
10,1,1,59.31352,18.09072,2,1.0,1.0,1.0,3,14,3,3,14,14,5,5,5,95,16,5,0,4.88,4.63,4.69,4.87,4.88,4.87,4.8,,1,1,0,0,2024-12-30,2012-01-29,,,78%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,400.00",t,2024-12-30,2012-02-12,2024-09-29,f
11,1,3,59.24656,18.17775,1,1.0,1.0,1.0,1,1125,1,1,1125,1125,27,57,87,177,25,6,1,4.19,4.08,4.17,4.54,4.63,4.17,4.0,,1,1,0,0,2024-12-30,2011-06-26,within an hour,100%,100%,f,t,t,Entire guesthouse,Entire home/apt,1 bath,$360.00,t,2024-12-30,2012-05-08,2024-12-03,f
12,1,1,59.25094,18.09676,6,1.0,4.0,2.0,8,45,8,8,45,45,0,0,0,0,9,1,0,4.22,4.44,3.78,4.75,4.75,4.25,4.25,,1,1,0,0,2024-12-30,2012-03-15,,,33%,f,t,f,Entire townhouse,Entire home/apt,1.5 baths,,t,2024-12-30,2015-07-06,2024-07-31,f
13,3,23,59.26424,18.02277,1,2.0,1.0,1.0,1,150,1,1,150,150,30,60,90,365,44,11,0,4.75,4.73,4.86,4.93,4.95,4.61,4.66,,3,1,1,1,2024-12-30,2011-08-03,within an hour,100%,89%,t,t,t,Private room in townhouse,Private room,2 shared baths,$350.00,t,2024-12-30,2012-06-01,2024-11-25,f
14,1,1,59.31041093355452,18.02404045094815,1,1.0,1.0,2.0,3,25,3,3,25,25,0,0,0,0,100,0,0,4.64,4.77,4.58,4.84,4.85,4.66,4.5,,1,0,1,0,2024-12-30,2012-04-23,within an hour,100%,100%,f,t,t,Private room in rental unit,Private room,1 shared bath,,t,2024-12-30,2012-05-10,2023-11-18,f
15,1,3,59.28003,18.05527,4,1.0,3.0,3.0,3,14,3,3,14,14,23,53,83,83,25,0,0,4.65,4.8,4.4,4.7,4.96,4.84,4.48,,1,1,0,0,2024-12-30,2012-04-28,,,0%,f,t,t,Entire home,Entire home/apt,1 bath,"$2,200.00",t,2024-12-30,2012-11-01,2022-07-24,f
16,1,1,59.31412,18.08274,1,1.0,1.0,1.0,3,7,3,3,7,7,0,0,0,29,41,0,0,4.54,4.37,4.63,4.71,4.8,4.76,4.41,,1,0,1,0,2024-12-30,2012-05-12,,,0%,f,t,t,Private room in rental unit,Private room,1 shared bath,$523.00,t,2024-12-30,2012-05-20,2017-06-29,f
17,1,2,59.30177,17.99189,3,2.0,2.0,3.0,4,180,4,4,180,180,9,39,69,159,33,2,0,4.7,4.77,4.59,4.9,4.9,4.61,4.61,,1,1,0,0,2024-12-30,2012-02-15,,,50%,f,t,t,Entire condo,Entire home/apt,2 baths,"$1,399.00",t,2024-12-30,2013-05-13,2024-08-25,f
18,1,8,59.34412,18.08957,2,1.0,1.0,2.0,10,90,10,10,90,90,0,0,0,0,105,0,0,4.78,4.83,4.73,4.86,4.9,4.72,4.7,,1,0,1,0,2024-12-30,2012-06-13,,,,f,t,f,Private room in rental unit,Private room,Shared half-bath,,,2024-12-30,2012-06-20,2018-08-08,f
19,1,1,59.2783119,18.1181517,6,2.5,3.0,3.0,6,365,6,6,365,365,3,30,60,329,4,2,0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,,1,1,0,0,2024-12-30,2012-06-16,a few days or more,0%,50%,f,t,t,Entire villa,Entire home/apt,2.5 baths,"$2,700.00",t,2024-12-30,2023-07-28,2024-08-14,f
20,1,1,59.34171,18.03712,3,1.5,0.0,2.0,4,50,3,5,50,50,8,8,8,8,43,2,0,4.63,4.7,4.47,4.7,4.74,4.91,4.47,,1,1,0,0,2024-12-30,2012-06-25,within an hour,100%,100%,f,t,t,Entire loft,Entire home/apt,1.5 baths,"$1,000.00",t,2024-12-30,2015-05-14,2024-01-15,f
21,5,8,59.33536,17.97669,4,1.0,2.0,3.0,21,1125,21,21,1125,1125,0,0,7,93,14,0,0,4.62,4.57,4.36,4.86,4.79,4.36,4.21,,3,3,0,0,2024-12-30,2012-06-26,within a few hours,80%,77%,t,t,t,Entire condo,Entire home/apt,1 bath,"$1,760.00",t,2024-12-30,2012-07-28,2023-11-30,f
22,1,1,59.31711,18.00519,6,2.0,3.0,4.0,4,20,4,4,20,20,0,2,2,36,29,4,0,4.79,4.77,4.92,4.92,4.88,4.69,4.69,,1,1,0,0,2024-12-30,2012-06-29,,,100%,f,t,t,Entire villa,Entire home/apt,2 baths,"$4,245.00",t,2024-12-30,2013-08-06,2024-07-21,f
23,5,8,59.33583,18.02983,3,1.0,1.0,1.0,1,1125,1,1,1125,1125,28,58,82,236,47,8,0,4.68,4.83,4.45,4.98,4.89,4.85,4.52,,3,3,0,0,2024-12-30,2012-06-26,within a few hours,80%,77%,t,t,t,Entire rental unit,Entire home/apt,1 bath,$981.00,t,2024-12-30,2015-10-10,2024-07-21,f
24,1,1,59.33894,18.0919,2,1.0,1.0,1.0,1,30,1,1,1125,1125,19,22,22,22,752,52,7,4.92,4.94,4.98,4.9,4.93,4.88,4.85,,1,0,1,0,2024-12-30,2012-07-07,within an hour,100%,100%,t,t,t,Private room in rental unit,Private room,1 shared bath,$470.00,t,2024-12-30,2012-07-15,2024-12-24,t
25,1,1,59.292661,18.11225,4,1.0,2.0,3.0,14,1125,14,14,1125,1125,0,0,0,22,12,2,0,5.0,5.0,4.92,5.0,5.0,4.83,4.92,,1,1,0,0,2024-12-30,2012-03-02,within a few hours,100%,83%,f,t,t,Entire condo,Entire home/apt,1 bath,$552.00,t,2024-12-30,2012-12-09,2024-08-12,f
26,1,1,59.31414,18.08102,2,1.0,1.0,2.0,2,2,2,2,2,2,0,0,0,0,104,2,0,4.83,4.89,4.9,4.86,4.88,4.95,4.75,,1,1,0,0,2024-12-30,2012-05-17,within a few hours,100%,21%,f,t,t,Entire rental unit,Entire home/apt,1 bath,,t,2024-12-30,2012-11-19,2024-06-30,f
27,1,1,59.31544,18.0755,2,1.0,2.0,3.0,75,270,60,75,270,270,5,5,5,95,18,0,0,4.78,4.67,4.67,4.94,5.0,5.0,4.61,,1,1,0,0,2024-12-30,2012-10-21,within an hour,100%,100%,f,t,f,Entire condo,Entire home/apt,1 bath,"$1,250.00",t,2024-12-30,2013-08-19,2021-06-04,f
28,1,1,59.32881,18.03559,4,2.0,1.0,4.0,2,1125,2,2,1125,1125,18,48,74,307,213,40,3,4.77,4.84,4.42,4.97,4.96,4.93,4.77,,1,1,0,0,2024-12-30,2012-10-26,within a few hours,100%,79%,f,t,t,Entire rental unit,Entire home/apt,2 baths,"$1,549.00",t,2024-12-30,2015-12-01,2024-12-15,f
29,2,2,59.34489,18.05216,4,1.0,3.0,3.0,3,14,3,3,14,14,0,0,0,84,102,2,0,4.94,4.91,4.94,4.88,4.94,4.79,4.75,,1,1,0,0,2024-12-30,2012-09-12,within a few hours,100%,60%,t,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,850.00",t,2024-12-30,2013-04-02,2024-08-05,f
30,1,1,59.32355,18.0698,2,1.0,1.0,2.0,1,60,1,1,60,60,0,0,0,0,54,10,0,4.91,4.93,4.94,4.98,5.0,4.98,4.85,,1,1,0,0,2024-12-30,2012-11-08,,,92%,t,t,f,Entire rental unit,Entire home/apt,1 bath,,t,2024-12-30,2013-02-12,2024-09-01,f
31,1,1,59.34353,18.05081,2,1.0,1.0,1.0,5,15,5,5,15,15,0,0,0,27,20,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,1,1,0,0,2024-12-30,2012-10-24,within an hour,100%,0%,f,t,t,Entire loft,Entire home/apt,1 bath,"$1,800.00",t,2024-12-30,2013-02-26,2018-10-09,f
32,1,1,59.32142,17.99469,6,1.0,3.0,6.0,5,1125,3,5,1125,1125,0,0,0,27,28,6,0,4.96,4.93,5.0,4.89,4.93,4.64,4.86,,1,1,0,0,2024-12-30,2012-11-13,within a day,100%,86%,f,t,t,Entire home,Entire home/apt,1 bath,"$1,700.00",t,2024-12-30,2013-07-16,2024-08-08,f
33,1,1,59.33981,18.06163,2,1.5,1.0,2.0,1,14,1,1,14,14,0,0,0,0,55,5,0,4.87,4.85,4.65,4.93,4.98,4.96,4.7,,1,1,0,0,2024-12-30,2012-10-25,,,88%,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,"$2,200.00",t,2024-12-30,2013-09-02,2024-09-15,f
34,2,2,59.33591,18.08483,2,1.0,1.0,1.0,5,200,5,5,200,200,30,60,90,365,141,8,0,4.8,4.82,4.78,4.83,4.88,4.94,4.67,,1,1,0,0,2024-12-30,2012-08-07,within an hour,75%,38%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$2,500.00",t,2024-12-30,2013-04-29,2024-11-02,f
35,1,4,59.29788,17.98505,6,1.5,2.0,3.0,3,30,3,3,30,30,0,6,9,9,50,3,0,4.84,4.8,4.84,4.88,4.98,4.7,4.68,,1,1,0,0,2024-12-30,2012-12-04,within an hour,100%,75%,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,"$1,843.00",t,2024-12-30,2013-03-26,2024-10-31,f
36,3,5,59.33593,18.05542,6,1.0,1.0,6.0,1,7,1,1,7,7,25,42,63,274,84,11,0,4.64,4.64,4.65,4.79,4.79,4.88,4.69,,3,3,0,0,2024-12-30,2012-12-11,within an hour,100%,98%,t,t,t,Entire rental unit,Entire home/apt,1 bath,"$2,626.00",t,2024-12-30,2016-03-13,2024-11-10,t
37,1,1,59.33633,18.03002,2,1.5,1.0,1.0,4,5,4,4,1125,1125,28,58,66,323,133,11,0,4.91,4.9,4.88,4.92,4.93,4.81,4.81,,1,0,1,0,2024-12-30,2012-12-12,within an hour,100%,86%,t,t,t,Private room in rental unit,Private room,1.5 shared baths,$890.00,t,2024-12-30,2013-06-17,2024-11-05,f
38,2,8,59.29578,17.92813,4,1.0,1.0,3.0,1,180,1,1,1125,1125,30,60,90,90,52,19,0,4.69,4.58,4.37,4.78,4.85,4.59,4.61,,2,0,2,0,2024-12-30,2012-11-17,within a few hours,100%,100%,t,t,t,Private room in rental unit,Private room,1 shared bath,$220.00,t,2024-12-30,2014-08-01,2024-10-01,f
39,1,1,59.35019,18.05544,3,1.0,2.0,2.0,6,365,6,6,365,365,29,59,89,364,4,0,0,4.33,4.0,4.0,4.67,4.67,4.33,4.67,,1,1,0,0,2024-12-30,2012-01-28,,,0%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,300.00",t,2024-12-30,2013-02-08,2014-06-20,f
40,1,3,59.33884,18.08536,1,1.5,1.0,1.0,3,21,3,3,21,21,25,28,28,28,55,11,1,4.8,4.94,4.98,4.94,4.94,4.98,4.75,,1,0,1,0,2024-12-30,2012-12-26,within a few hours,100%,94%,t,t,t,Private room in rental unit,Private room,1.5 baths,$740.00,t,2024-12-30,2013-05-07,2024-12-14,f
41,1,1,59.307583,18.080265,3,1.0,1.0,1.0,5,20,5,5,20,20,23,53,83,353,54,1,0,4.83,4.8,4.65,4.9,4.94,4.92,4.69,,1,1,0,0,2024-12-30,2011-07-05,within a day,100%,13%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,320.00",t,2024-12-30,2013-02-06,2024-09-09,f
42,1,1,59.30091,17.99012,2,1.0,1.0,2.0,3,1125,3,3,1125,1125,0,0,0,0,46,0,0,4.91,4.87,4.93,5.0,5.0,4.56,4.8,,1,1,0,0,2024-12-30,2011-12-31,,,,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,,t,2024-12-30,2013-02-11,2023-12-21,f
43,1,1,59.28674,18.0953,2,1.0,1.0,1.0,1,30,1,1,30,30,23,50,80,80,33,1,0,5.0,4.94,4.79,4.94,4.94,5.0,4.85,,1,0,1,0,2024-12-30,2013-01-24,within an hour,100%,100%,f,t,f,Private room in condo,Private room,1 shared bath,$873.00,t,2024-12-30,2016-05-15,2024-05-31,f
44,2,2,59.27977,17.89568,4,1.0,1.0,1.0,3,365,3,3,1125,1125,0,0,29,276,338,10,0,4.47,4.62,4.63,4.8,4.81,4.41,4.56,,2,2,0,0,2024-12-30,2013-01-31,within a few hours,100%,98%,f,t,t,Entire guesthouse,Entire home/apt,1 bath,$790.00,t,2024-12-30,2013-03-25,2024-11-15,f
45,1,1,59.31577,18.07724,4,2.5,1.0,3.0,14,1095,14,14,1095,1095,30,60,90,365,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,1,0,1,0,2024-12-30,2013-01-11,,,,f,t,t,Private room in rental unit,Private room,2.5 baths,"$3,000.00",t,2024-12-30,2013-11-09,2013-11-09,f
46,1,1,59.33567,18.03108,3,1.0,1.0,2.0,3,1125,3,3,1125,1125,0,0,10,271,334,35,1,4.93,4.95,4.98,4.99,4.99,4.88,4.85,,1,1,0,0,2024-12-30,2012-11-04,within an hour,100%,96%,t,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,250.00",t,2024-12-30,2013-04-26,2024-12-15,f
47,1,1,59.29782,18.08865,2,1.0,1.0,1.0,4,30,4,4,30,30,0,28,51,299,99,6,0,4.77,4.87,4.64,4.9,4.89,4.65,4.73,,1,1,0,0,2024-12-30,2013-04-04,within a day,60%,35%,f,t,t,Entire rental unit,Entire home/apt,1 bath,$800.00,t,2024-12-30,2013-05-13,2024-08-26,f
48,2,3,59.27347,17.958,6,1.0,2.0,5.0,2,120,2,2,1125,1125,29,59,89,353,219,29,1,4.83,4.89,4.86,4.97,4.98,4.72,4.72,,1,1,0,0,2024-12-30,2013-04-07,within an hour,100%,100%,t,t,t,Entire rental unit,Entire home/apt,1 bath,$921.00,t,2024-12-30,2015-02-08,2024-12-09,f
49,1,1,59.28454,18.0866,3,1.0,1.0,2.0,4,30,4,4,30,30,0,0,0,78,66,9,0,4.86,4.92,4.88,4.85,4.79,4.92,4.88,,1,1,0,0,2024-12-30,2013-04-21,within a day,50%,50%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,000.00",t,2024-12-30,2013-05-07,2024-08-21,f
50,1,1,59.31793,18.03252,3,1.0,2.0,1.0,5,55,5,5,55,55,5,5,5,5,17,4,0,4.94,4.88,4.65,4.88,4.94,4.88,4.88,,1,1,0,0,2024-12-30,2013-04-28,,,67%,f,t,t,Entire loft,Entire home/apt,1 bath,"$2,300.00",t,2024-12-30,2017-09-06,2024-08-02,f
51,1,1,59.32769,18.0365,3,1.5,1.0,1.0,2,20,3,4,20,20,23,53,83,168,33,1,0,4.85,4.91,4.91,4.87,4.97,4.94,4.68,,1,1,0,0,2024-12-30,2013-05-01,within an hour,100%,75%,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,"$1,800.00",t,2024-12-30,2013-06-13,2024-05-19,f
52,1,1,59.34453,18.08507,5,1.5,3.0,5.0,6,1125,6,6,1125,1125,25,55,85,343,170,12,0,4.87,4.85,4.66,4.98,4.97,4.89,4.71,,1,1,0,0,2024-12-30,2013-05-10,within an hour,100%,100%,t,t,t,Entire rental unit,Entire home/apt,1.5 baths,"$3,300.00",t,2024-12-30,2013-06-17,2024-11-02,f
53,1,1,59.2932,17.95069,9,1.5,4.0,6.0,3,1125,3,3,1125,1125,25,55,85,341,113,9,0,4.97,4.97,4.94,4.99,4.97,4.67,4.89,,1,1,0,0,2024-12-30,2012-03-31,within an hour,100%,100%,t,t,t,Entire home,Entire home/apt,1.5 baths,"$3,683.00",t,2024-12-30,2014-04-22,2024-08-31,f
54,1,2,59.34858,18.05753,1,1.5,1.0,2.0,7,30,1,6,30,30,17,30,30,30,18,1,0,4.78,4.76,4.82,4.78,4.78,4.78,4.67,,1,1,0,0,2024-12-30,2013-05-14,,,75%,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,$850.00,t,2024-12-30,2013-10-25,2024-04-17,f
55,1,1,59.26466,18.12983,1,1.0,1.0,2.0,1,3,1,1,3,3,0,0,0,0,58,0,0,4.81,4.96,5.0,4.96,4.89,4.67,4.75,,1,0,1,0,2024-12-30,2013-01-09,,,,f,t,f,Private room in rental unit,Private room,1 shared bath,,,2024-12-30,2013-06-15,2022-10-03,f
56,3,3,59.28332,18.04978,6,2.0,4.0,4.0,3,1125,3,3,1125,1125,26,56,86,352,13,5,0,5.0,5.0,4.69,4.85,4.92,4.85,4.85,,2,1,1,0,2024-12-30,2013-05-15,within a day,100%,44%,f,t,t,Entire home,Entire home/apt,2 baths,"$1,800.00",t,2024-12-30,2013-07-28,2024-07-28,f
57,2,2,59.32047,18.05648,2,1.0,1.0,2.0,3,1125,3,3,1125,1125,18,31,52,224,250,34,4,4.9,4.9,4.91,4.96,4.96,4.9,4.81,,1,0,1,0,2024-12-30,2013-05-15,within an hour,100%,100%,t,t,t,Private room in loft,Private room,1 bath,,t,2024-12-30,2013-06-03,2024-12-26,f
58,1,3,59.28966,18.10292,1,1.0,1.0,2.0,3,7,3,3,7,7,0,0,0,0,6,0,0,5.0,5.0,5.0,5.0,5.0,4.17,5.0,,1,0,1,0,2024-12-30,2013-04-07,,,,f,t,t,Private room in rental unit,Private room,1.5 baths,,t,2024-12-30,2022-06-13,2022-09-17,f
59,2,3,59.34001,18.02843,5,2.0,3.0,4.0,28,64,28,28,64,64,28,58,88,363,23,0,0,4.83,4.74,4.83,4.83,5.0,4.91,4.83,,2,1,1,0,2024-12-30,2013-05-16,a few days or more,25%,0%,f,t,t,Entire rental unit,Entire home/apt,2 baths,"$1,572.00",t,2024-12-30,2013-07-26,2015-08-10,f
60,1,1,59.31016,18.05401,3,1.0,2.0,2.0,3,14,3,3,14,14,0,0,0,0,18,0,0,4.89,4.78,4.94,4.78,4.94,4.72,4.83,,1,1,0,0,2024-12-30,2013-06-02,,,,f,t,t,Entire rental unit,Entire home/apt,1 bath,,t,2024-12-30,2017-12-27,2022-08-18,f
61,1,1,59.28009,18.06047,6,2.0,3.0,3.0,3,60,1,3,1125,1125,30,60,86,250,101,10,1,4.75,4.78,4.48,4.85,4.96,4.83,4.59,,1,1,0,0,2024-12-30,2013-05-06,within an hour,100%,95%,f,t,t,Entire home,Entire home/apt,2 baths,"$3,786.00",t,2024-12-30,2014-03-12,2024-12-10,f
62,1,2,59.34199,18.06906,2,1.0,1.0,1.0,90,365,90,90,365,365,30,60,90,214,21,0,0,4.76,4.85,4.19,4.95,4.85,4.79,4.68,,1,1,0,0,2024-12-30,2013-06-09,a few days or more,0%,0%,f,t,f,Entire rental unit,Entire home/apt,1 bath,$700.00,t,2024-12-30,2013-08-18,2019-04-05,t
63,2,2,59.34153,18.06322,2,1.0,1.0,1.0,10,82,10,10,82,82,0,0,0,30,39,6,0,4.92,4.87,4.9,5.0,4.97,4.95,4.9,,1,1,0,0,2024-12-30,2013-06-10,within a few hours,100%,88%,t,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,500.00",t,2024-12-30,2013-07-14,2024-08-17,f
64,1,1,59.32357,17.98983,3,1.0,2.0,2.0,5,40,5,5,40,40,30,60,90,365,34,3,0,4.82,4.79,4.91,4.74,4.91,4.82,4.62,,1,1,0,0,2024-12-30,2013-06-10,,,57%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$2,200.00",t,2024-12-30,2013-08-23,2024-08-10,f
65,1,1,59.31886,17.98479,6,1.0,1.0,2.0,7,31,7,7,31,31,0,0,0,0,0,0,0,4.9,4.9,4.9,5.0,5.0,4.9,4.8,,1,0,1,0,2024-12-30,2013-06-11,,,,f,t,f,Private room in villa,Private room,,,,2024-12-30,,,f
66,1,1,59.34607,18.06306,4,2.0,2.0,4.0,14,90,14,14,90,90,10,17,21,204,12,0,0,4.83,5.0,4.83,5.0,5.0,5.0,4.83,,1,1,0,0,2024-12-30,2013-06-12,within an hour,100%,0%,f,t,t,Entire rental unit,Entire home/apt,2 baths,"$2,200.00",t,2024-12-30,2015-08-02,2023-08-13,f
67,1,2,59.31815,18.0301,4,1.0,3.0,2.0,5,15,5,5,15,15,0,0,0,0,4,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,1,1,0,0,2024-12-30,2013-05-09,,,50%,f,t,t,Entire rental unit,Entire home/apt,1 bath,,t,2024-12-30,2019-08-11,2024-08-03,f
68,3,3,59.31664,18.05903,2,1.0,1.0,1.0,2,50,2,3,50,50,0,0,0,0,188,0,0,4.95,4.95,4.98,4.98,4.97,4.97,4.84,,1,0,1,0,2024-12-30,2013-06-15,,,100%,f,t,t,Private room in rental unit,Private room,1 shared bath,$900.00,t,2024-12-30,2013-11-03,2023-12-28,f
69,1,2,59.3397,18.07834,1,1.0,1.0,1.0,2,20,2,2,20,20,29,59,89,364,31,0,0,4.77,4.77,4.74,4.84,4.9,4.9,4.61,,1,0,1,0,2024-12-30,2013-01-13,within an hour,100%,0%,f,t,t,Private room in rental unit,Private room,1 bath,$975.00,t,2024-12-30,2013-08-16,2016-09-03,f
70,1,1,59.30438,17.96837,8,2.0,4.0,6.0,3,365,3,3,365,365,28,58,88,354,25,0,0,4.64,4.68,4.36,4.83,4.92,4.67,4.54,,1,1,0,0,2024-12-30,2013-06-25,within a day,83%,0%,f,t,t,Entire townhouse,Entire home/apt,2 baths,"$2,294.00",t,2024-12-30,2013-07-13,2019-12-28,f
71,2,2,59.31323,18.05996,5,2.0,3.0,3.0,6,1125,6,6,1125,1125,25,55,85,85,4,0,0,5.0,4.75,5.0,5.0,5.0,5.0,4.5,,1,1,0,0,2024-12-30,2013-06-29,a few days or more,33%,0%,f,t,t,Entire rental unit,Entire home/apt,2 baths,"$2,210.00",t,2024-12-30,2013-07-25,2014-11-15,f
72,2,3,59.32068,18.06563,1,1.0,1.0,2.0,1,1125,1,1,1125,1125,0,0,0,0,101,0,0,4.92,4.91,4.81,4.92,4.95,4.98,4.89,,2,1,1,0,2024-12-30,2013-04-10,within a few hours,100%,89%,t,t,t,Private room in bed and breakfast,Private room,1 bath,,t,2024-12-30,2013-08-26,2023-09-18,f
73,2,2,59.29562,18.09225,2,1.0,1.0,2.0,2,10,2,2,10,10,0,29,57,228,115,3,0,4.77,4.84,4.74,4.94,4.91,4.75,4.74,,2,1,1,0,2024-12-30,2013-07-11,within a few hours,100%,13%,t,t,t,Private room in rental unit,Private room,1 shared bath,$450.00,t,2024-12-30,2013-08-13,2024-10-10,f
74,2,2,59.32916,18.02933,1,1.0,1.0,1.0,2,1125,2,2,1125,1125,28,58,88,363,51,3,0,4.98,4.94,4.96,4.98,5.0,4.94,4.9,,2,1,1,0,2024-12-30,2013-07-22,,,63%,f,t,t,Private room in rental unit,Private room,1 shared bath,$700.00,t,2024-12-30,2015-08-07,2024-07-07,f
75,2,2,59.28659,18.11973,7,1.0,3.0,3.0,3,100,3,3,1125,1125,3,9,11,208,81,7,0,4.94,4.88,4.67,4.94,5.0,4.77,4.82,,1,1,0,0,2024-12-30,2012-12-09,within an hour,100%,94%,t,t,t,Entire townhouse,Entire home/apt,1 bath,"$3,300.00",t,2024-12-30,2013-11-19,2024-08-12,f
76,2,3,59.26545,18.13086,2,1.0,2.0,1.0,4,120,4,4,120,120,30,60,90,365,205,4,0,4.79,4.77,4.67,4.88,4.9,4.63,4.77,,2,1,1,0,2024-12-30,2013-08-05,within a day,78%,32%,f,t,t,Private room in condo,Private room,1 shared bath,$350.00,t,2024-12-30,2013-08-22,2024-10-23,f
77,1,5,59.27643,18.13432,2,1.0,1.0,2.0,2,1125,2,2,1125,1125,0,2,5,278,92,0,0,4.82,4.63,4.95,4.88,4.93,4.59,4.76,,1,0,1,0,2024-12-30,2013-08-07,within an hour,100%,0%,f,t,t,Private room in rental unit,Private room,1 bath,,t,2024-12-30,2014-04-21,2022-05-27,f
